Time	Current	U_Battery	U_2
74678	0.07872	3.952	0.114
74891	0.07866	3.933	0.112
75104	0.07866	3.931	0.114
75316	0.07872	3.951	0.114
75529	0.07872	3.932	0.113
75742	0.07866	3.933	0.113
75954	0.07872	3.933	0.113
76167	0.07872	3.951	0.113
76380	0.07866	3.932	0.113
76593	0.07872	3.952	0.113
76805	0.07872	3.932	0.114
77018	0.07866	3.913	0.113
77231	0.07872	3.932	0.112
77443	0.07866	3.914	0.114
77656	0.07866	3.933	0.113
77869	0.07872	3.912	0.112
78081	0.07872	3.951	0.114
78294	0.07872	3.951	0.115
78507	0.07861	3.951	0.114
78720	0.07872	3.95	0.112
78932	0.07872	3.951	0.112
79145	0.07872	3.95	0.113
79358	0.07872	3.932	0.113
79570	0.07872	3.951	0.115
79783	0.07872	3.912	0.111
79996	0.07872	3.894	0.113
80209	0.07866	3.948	0.113
80421	0.07866	3.931	0.114
80634	0.07866	3.912	0.113
80847	0.07866	3.95	0.115
81059	0.07872	3.948	0.115
81272	0.07866	3.949	0.115
81485	0.07861	3.95	0.113
81697	0.07861	3.929	0.114
81910	0.07866	3.949	0.115
82123	0.07866	3.948	0.114
82336	0.07866	3.947	0.113
82548	0.07872	3.95	0.114
82761	0.07861	3.891	0.112
82974	0.07872	3.93	0.113
83186	0.07872	3.91	0.113
83399	0.07877	3.911	0.114
83612	0.07861	3.947	0.114
83824	0.07866	3.948	0.113
84037	0.07866	3.929	0.114
84250	0.07872	3.893	0.112
84463	0.07872	3.911	0.112
84675	0.07872	3.928	0.114
84888	0.07866	3.928	0.114
85101	0.07866	3.91	0.112
85313	0.07866	3.93	0.114
85526	0.07866	3.949	0.114
85739	0.07866	3.948	0.114
85952	0.07866	3.929	0.114
86164	0.07861	3.948	0.116
86377	0.07861	3.909	0.111
86590	0.07866	3.929	0.112
86802	0.07866	3.928	0.112
87015	0.07872	3.927	0.113
87228	0.07861	3.909	0.112
87440	0.07866	3.928	0.113
87652	0.07866	3.928	0.115
87865	0.07866	3.929	0.113
88078	0.07866	3.927	0.114
88290	0.07872	3.889	0.111
88503	0.07866	3.928	0.113
88716	0.07861	3.926	0.115
88928	0.07861	3.908	0.113
89141	0.07866	3.908	0.112
89354	0.07861	3.907	0.112
89567	0.07866	3.928	0.112
89779	0.07866	3.927	0.112
89992	0.07866	3.908	0.113
90205	0.07861	3.929	0.113
90417	0.07872	3.927	0.11
90630	0.07872	3.926	0.112
90843	0.07872	3.946	0.114
91055	0.07866	3.926	0.112
91268	0.07872	3.908	0.114
91481	0.07866	3.926	0.111
91694	0.07872	3.906	0.113
91906	0.07872	3.907	0.113
92119	0.07866	3.945	0.114
92332	0.07866	3.944	0.113
92544	0.07866	3.925	0.112
92757	0.07866	3.925	0.113
92970	0.07866	3.925	0.114
93182	0.07861	3.924	0.113
93395	0.07866	3.943	0.115
93608	0.07866	3.906	0.112
93821	0.07866	3.946	0.116
94033	0.07872	3.944	0.114
94246	0.07872	3.926	0.114
94459	0.07872	3.926	0.113
94671	0.07866	3.906	0.111
94884	0.07866	3.944	0.114
95097	0.07872	3.944	0.112
95310	0.07872	3.924	0.112
95522	0.07872	3.944	0.113
95735	0.07872	3.887	0.111
95948	0.07866	3.923	0.111
96160	0.07872	3.943	0.113
96373	0.07866	3.924	0.113
96586	0.07872	3.906	0.113
96798	0.07866	3.922	0.111
97011	0.07872	3.924	0.113
97224	0.07866	3.923	0.112
97437	0.07872	3.904	0.11
97649	0.07866	3.905	0.113
97862	0.07872	3.942	0.113
98075	0.07866	3.944	0.113
98287	0.07872	3.944	0.114
98500	0.07872	3.905	0.112
98713	0.07866	3.924	0.114
98925	0.07866	3.942	0.114
99138	0.07861	3.904	0.111
99351	0.07872	3.923	0.113
99564	0.07872	3.923	0.113
99776	0.07866	3.905	0.113
99989	0.07872	3.905	0.113
100202	0.07872	3.942	0.112
100414	0.07872	3.923	0.113
100627	0.07866	3.941	0.112
100840	0.07866	3.903	0.113
101053	0.07866	3.885	0.111
101265	0.07872	3.923	0.114
101478	0.07872	3.903	0.112
101691	0.07866	3.94	0.114
101904	0.07872	3.902	0.111
102115	0.07866	3.94	0.113
102328	0.07866	3.941	0.114
102541	0.07877	3.921	0.113
102754	0.07866	3.904	0.113
102966	0.07861	3.942	0.113
103179	0.07866	3.922	0.112
103392	0.07872	3.922	0.113
103605	0.07872	3.94	0.113
103817	0.07872	3.939	0.113
104030	0.07877	3.922	0.113
104243	0.07872	3.92	0.113
104456	0.07877	3.921	0.113
104668	0.07872	3.904	0.112
104881	0.07872	3.903	0.113
105094	0.07872	3.902	0.112
105307	0.07872	3.94	0.114
105519	0.07872	3.901	0.112
105732	0.07866	3.939	0.113
105945	0.07866	3.919	0.111
106158	0.07861	3.92	0.113
106370	0.07866	3.902	0.113
106583	0.07866	3.939	0.115
106796	0.07877	3.918	0.112
107009	0.07866	3.92	0.113
107221	0.07866	3.937	0.114
107434	0.07877	3.9	0.112
107647	0.07872	3.92	0.112
107860	0.07866	3.882	0.111
108072	0.07872	3.918	0.114
108285	0.07866	3.939	0.114
108498	0.07877	3.901	0.113
108711	0.07872	3.9	0.113
108923	0.07866	3.92	0.113
109136	0.07866	3.937	0.113
109349	0.07872	3.919	0.112
109562	0.07866	3.939	0.114
109774	0.07872	3.901	0.112
109987	0.07872	3.938	0.114
110200	0.07872	3.902	0.112
110412	0.07872	3.9	0.112
110625	0.07866	3.936	0.113
110838	0.07872	3.918	0.113
111051	0.07877	3.936	0.113
111263	0.07866	3.937	0.113
111476	0.07872	3.918	0.111
111689	0.07872	3.936	0.114
111902	0.07872	3.937	0.113
112114	0.07877	3.936	0.113
112327	0.07866	3.919	0.114
112540	0.07872	3.899	0.112
112753	0.07866	3.88	0.114
112965	0.07872	3.916	0.114
113178	0.07872	3.916	0.114
113391	0.07866	3.936	0.113
113604	0.07872	3.937	0.113
113816	0.07872	3.9	0.112
114029	0.07872	3.899	0.112
114242	0.07872	3.919	0.113
114455	0.07872	3.918	0.113
114667	0.07882	3.936	0.114
114880	0.07866	3.936	0.113
115093	0.07877	3.917	0.113
115306	0.07872	3.935	0.115
115518	0.07866	3.899	0.113
115731	0.07866	3.879	0.112
115944	0.07872	3.915	0.111
116157	0.07877	3.898	0.112
116369	0.07866	3.935	0.115
116582	0.07877	3.879	0.111
116795	0.07877	3.916	0.113
117008	0.07872	3.915	0.112
117219	0.07877	3.898	0.111
117432	0.07877	3.935	0.114
117645	0.07872	3.933	0.113
117858	0.07872	3.915	0.111
118070	0.07872	3.933	0.115
118283	0.07877	3.915	0.112
118496	0.07866	3.933	0.113
118709	0.07872	3.878	0.112
118921	0.07877	3.897	0.111
119134	0.07866	3.897	0.113
119347	0.07872	3.897	0.112
119560	0.07872	3.917	0.113
119772	0.07872	3.898	0.111
119985	0.07872	3.895	0.113
120198	0.07877	3.934	0.113
120411	0.07877	3.935	0.114
120623	0.07877	3.934	0.113
120836	0.07872	3.916	0.114
121049	0.07882	3.895	0.113
121262	0.07872	3.916	0.113
121474	0.07877	3.933	0.112
121687	0.07877	3.933	0.114
121900	0.07877	3.916	0.113
122113	0.07877	3.933	0.114
122325	0.07882	3.933	0.115
122538	0.07872	3.878	0.111
122751	0.07872	3.895	0.113
122964	0.07877	3.914	0.113
123176	0.07882	3.915	0.115
123389	0.07872	3.896	0.113
123602	0.07877	3.913	0.113
123815	0.07872	3.911	0.111
124027	0.07877	3.913	0.113
124240	0.07882	3.913	0.114
124453	0.07872	3.931	0.113
124666	0.07872	3.914	0.113
124878	0.07882	3.914	0.114
125091	0.07877	3.934	0.114
125304	0.07877	3.877	0.114
125517	0.07877	3.933	0.116
125729	0.07877	3.896	0.114
125942	0.07877	3.876	0.112
126155	0.07872	3.933	0.114
126368	0.07872	3.914	0.112
126580	0.07877	3.914	0.113
126793	0.07877	3.931	0.113
127006	0.07882	3.932	0.114
127219	0.07888	3.93	0.113
127431	0.07872	3.913	0.112
127644	0.07882	3.931	0.114
127857	0.07877	3.894	0.112
128070	0.07877	3.913	0.113
128282	0.07877	3.93	0.113
128495	0.07872	3.931	0.114
128708	0.07877	3.931	0.114
128921	0.07872	3.911	0.112
129133	0.07882	3.913	0.114
129346	0.07872	3.912	0.112
129559	0.07882	3.911	0.113
129772	0.07872	3.911	0.113
129984	0.07877	3.929	0.112
130197	0.07877	3.931	0.114
130410	0.07877	3.913	0.113
130623	0.07877	3.93	0.113
130835	0.07877	3.894	0.112
131048	0.07877	3.93	0.112
131261	0.07877	3.873	0.111
131474	0.07882	3.912	0.113
131686	0.07877	3.932	0.113
131899	0.07877	3.929	0.112
132112	0.07877	3.892	0.112
132324	0.07877	3.929	0.113
132536	0.07877	3.911	0.113
132749	0.07877	3.911	0.113
132962	0.07877	3.912	0.114
133175	0.07877	3.911	0.114
133387	0.07877	3.929	0.113
133600	0.07882	3.911	0.112
133813	0.07882	3.929	0.113
134026	0.07882	3.929	0.112
134238	0.07882	3.91	0.113
134451	0.07877	3.891	0.112
134664	0.07877	3.892	0.114
134877	0.07872	3.927	0.112
135089	0.07877	3.928	0.114
135302	0.07882	3.892	0.112
135515	0.07877	3.927	0.112
135728	0.07877	3.91	0.112
135940	0.07877	3.892	0.112
136153	0.07877	3.927	0.113
136366	0.07872	3.892	0.112
136579	0.07888	3.911	0.113
136791	0.07877	3.929	0.113
137004	0.07877	3.93	0.114
137217	0.07877	3.872	0.112
137429	0.07882	3.909	0.112
137642	0.07882	3.893	0.114
137855	0.07882	3.927	0.112
138068	0.07877	3.927	0.113
138280	0.07882	3.91	0.113
138493	0.07882	3.909	0.112
138706	0.07877	3.89	0.112
138919	0.07877	3.927	0.112
139131	0.07872	3.926	0.114
139344	0.07877	3.927	0.113
139557	0.07882	3.872	0.112
139770	0.07877	3.926	0.114
139982	0.07877	3.891	0.112
140195	0.07888	3.89	0.112
140408	0.07877	3.927	0.114
140621	0.07882	3.909	0.113
140833	0.07877	3.925	0.114
141046	0.07882	3.909	0.113
141259	0.07882	3.909	0.114
141472	0.07888	3.926	0.113
141684	0.07877	3.908	0.111
141897	0.07882	3.91	0.114
142110	0.07877	3.891	0.115
142323	0.07877	3.927	0.114
142535	0.07877	3.872	0.113
142748	0.07882	3.908	0.113
142961	0.07877	3.927	0.113
143174	0.07882	3.889	0.113
143386	0.07882	3.925	0.113
143599	0.07877	3.926	0.115
143812	0.07882	3.869	0.111
144025	0.07877	3.907	0.114
144237	0.07877	3.927	0.116
144450	0.07888	3.888	0.11
144663	0.07882	3.889	0.112
144876	0.07882	3.926	0.113
145088	0.07877	3.907	0.114
145301	0.07882	3.924	0.114
145514	0.07882	3.925	0.114
145727	0.07877	3.906	0.113
145939	0.07877	3.887	0.112
146152	0.07882	3.887	0.112
146365	0.07877	3.869	0.111
146578	0.07882	3.908	0.114
146790	0.07882	3.906	0.114
147003	0.07877	3.925	0.113
147216	0.07877	3.908	0.114
147427	0.07872	3.906	0.113
147640	0.07877	3.924	0.115
147853	0.07882	3.906	0.112
148066	0.07882	3.887	0.114
148278	0.07877	3.906	0.113
148491	0.07882	3.925	0.114
148704	0.07877	3.887	0.113
148917	0.07882	3.906	0.112
149129	0.07882	3.887	0.112
149342	0.07882	3.886	0.113
149555	0.07882	3.887	0.111
149768	0.07888	3.905	0.112
149980	0.07882	3.922	0.112
150193	0.07882	3.923	0.115
150406	0.07882	3.903	0.111
150619	0.07877	3.903	0.113
150831	0.07882	3.905	0.112
151044	0.07888	3.904	0.113
151257	0.07877	3.904	0.113
151470	0.07882	3.905	0.112
151682	0.07888	3.923	0.114
151895	0.07877	3.886	0.112
152108	0.07888	3.924	0.114
152321	0.07882	3.886	0.114
152533	0.07882	3.924	0.112
152746	0.07888	3.886	0.112
152959	0.07888	3.904	0.112
153172	0.07882	3.924	0.114
153384	0.07888	3.886	0.111
153597	0.07882	3.905	0.113
153810	0.07888	3.905	0.112
154023	0.07893	3.921	0.113
154235	0.07882	3.904	0.114
154448	0.07888	3.923	0.114
154661	0.07882	3.903	0.115
154874	0.07888	3.903	0.113
155086	0.07877	3.922	0.114
155299	0.07888	3.922	0.114
155512	0.07888	3.885	0.113
155725	0.07888	3.885	0.113
155937	0.07882	3.901	0.112
156150	0.07893	3.904	0.114
156363	0.07893	3.922	0.116
156576	0.07893	3.903	0.112
156788	0.07888	3.903	0.113
157001	0.07888	3.92	0.113
157214	0.07888	3.904	0.113
157426	0.07888	3.922	0.114
157639	0.07888	3.922	0.115
157852	0.07893	3.904	0.113
158065	0.07893	3.921	0.113
158277	0.07882	3.904	0.113
158490	0.07882	3.921	0.114
158703	0.07893	3.921	0.113
158916	0.07893	3.901	0.111
159128	0.07888	3.903	0.114
159341	0.07888	3.921	0.113
159554	0.07888	3.92	0.116
159767	0.07893	3.885	0.113
159979	0.07893	3.901	0.111
160192	0.07893	3.895	0.113
160405	0.07893	3.859	0.112
160618	0.07888	3.876	0.113
160830	0.07882	3.877	0.113
161043	0.07893	3.877	0.112
161256	0.07888	3.914	0.114
161469	0.07893	3.896	0.113
161681	0.07893	3.913	0.114
161894	0.07888	3.913	0.114
162107	0.07888	3.913	0.114
162320	0.07893	3.913	0.113
162531	0.07893	3.895	0.114
162744	0.07893	3.913	0.115
162957	0.07893	3.913	0.114
163170	0.07888	3.914	0.114
163382	0.07899	3.914	0.114
163595	0.07893	3.912	0.115
163808	0.07888	3.913	0.114
164021	0.07888	3.913	0.115
164233	0.07893	3.913	0.114
164446	0.07888	3.913	0.114
164659	0.07893	3.914	0.114
164872	0.07888	3.895	0.115
165084	0.07888	3.913	0.114
165297	0.07893	3.875	0.113
165510	0.07893	3.893	0.115
165723	0.07888	3.913	0.115
165935	0.07899	3.875	0.113
166148	0.07893	3.893	0.113
166361	0.07899	3.912	0.114
166574	0.07893	3.913	0.114
166786	0.07893	3.893	0.113
166999	0.07893	3.894	0.114
167212	0.07888	3.875	0.114
167425	0.07893	3.893	0.113
167637	0.07882	3.911	0.114
167850	0.07893	3.91	0.115
168063	0.07893	3.913	0.114
168276	0.07899	3.912	0.113
168488	0.07899	3.912	0.114
168701	0.07893	3.911	0.115
168914	0.07893	3.912	0.114
169127	0.07893	3.911	0.115
169339	0.07899	3.912	0.115
169552	0.07893	3.911	0.114
169765	0.07893	3.911	0.114
169978	0.07893	3.894	0.114
170190	0.07893	3.911	0.115
170403	0.07899	3.911	0.114
170616	0.07893	3.892	0.114
170829	0.07893	3.911	0.114
171041	0.07888	3.911	0.113
171254	0.07893	3.911	0.114
171467	0.07899	3.891	0.114
171680	0.07893	3.875	0.112
171892	0.07899	3.874	0.113
172105	0.07888	3.909	0.115
172318	0.07899	3.91	0.114
172531	0.07899	3.909	0.116
172743	0.07899	3.892	0.113
172956	0.07899	3.909	0.115
173169	0.07899	3.909	0.114
173382	0.07899	3.909	0.114
173594	0.07899	3.873	0.113
173807	0.07899	3.91	0.113
174020	0.07893	3.893	0.114
174232	0.07899	3.91	0.114
174445	0.07899	3.91	0.113
174658	0.07893	3.911	0.114
174871	0.07899	3.908	0.114
175083	0.07899	3.891	0.115
175296	0.07893	3.873	0.113
175509	0.07893	3.909	0.114
175722	0.07893	3.909	0.113
175934	0.07893	3.91	0.115
